"S","p","r","F","model","npar","QAICc","DeltaQAICc","weight","Neg2LnL","chat"
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto","~1","~1","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto)p(~1)r(~1)F(~Sex * ageclass)",32,5098.96580958033,67.83,0,6742.12,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank","~1","~1","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank)p(~1)r(~1)F(~Sex + ageclass)",37,5101.74054529083,70.6,0,6732.15,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank","~1","~ageclass","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank)p(~1)r(~ageclass)F(~Sex * ageclass)",43,5102.29636577029,71.16,0,6716.42,1.33923167422218
"~ageclass + Sex","~time + ageclass","~1","~1","S(~ageclass + Sex)p(~time + ageclass)r(~1)F(~1)",22,5102.30126600707,71.16,0,6773.82,1.33923167422218
"~ageclass * cond + Sex","~1","~ageclass","~Sex + ageclass","S(~ageclass * cond + Sex)p(~1)r(~ageclass)F(~Sex + ageclass)",19,5102.34516484398,71.21,0,6782.02,1.33923167422218
"~ageclass * cond + Sex","~1","~ageclass","~1","S(~ageclass * cond + Sex)p(~1)r(~ageclass)F(~1)",15,5102.67064768621,71.53,0,6793.28,1.33923167422218
"~ageclass * djfm + Sex","~1","~1","~Sex + ageclass","S(~ageclass * djfm + Sex)p(~1)r(~1)F(~Sex + ageclass)",16,5103.40093105212,72.26,0,6791.56,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank","~1","~1","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank)p(~1)r(~1)F(~Sex * ageclass)",40,5105.16663517805,74.03,0,6728.51,1.33923167422218
"~ageclass + Sex","~1","~ageclass","~1","S(~ageclass + Sex)p(~1)r(~ageclass)F(~1)",11,5106.17574162631,75.04,0,6808.78,1.33923167422218
"~ageclass + Sex","~1","~ageclass","~Sex + ageclass","S(~ageclass + Sex)p(~1)r(~ageclass)F(~Sex + ageclass)",15,5106.95945007235,75.82,0,6799.03,1.33923167422218
"~ageclass * djfm + Sex","~1","~1","~Sex * ageclass","S(~ageclass * djfm + Sex)p(~1)r(~1)F(~Sex * ageclass)",19,5107.06854476529,75.93,0,6788.35,1.33923167422218
"~ageclass * cond + Sex","~1","~1","~Sex + ageclass","S(~ageclass * cond + Sex)p(~1)r(~1)F(~Sex + ageclass)",16,5107.2309629269,76.09,0,6796.69,1.33923167422218
"~ageclass * cond + Sex","~1","~ageclass","~Sex * ageclass","S(~ageclass * cond + Sex)p(~1)r(~ageclass)F(~Sex * ageclass)",22,5107.46840783413,76.33,0,6780.74,1.33923167422218
"~ageclass * djfm + ageclass * Hatch + Sex","~1","~1","~Sex + ageclass","S(~ageclass * djfm + ageclass * Hatch + Sex)p(~1)r(~1)F(~Sex + ageclass)",20,5107.80235562865,76.66,0,6786.62,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size","~1","~ageclass","~1","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size)p(~1)r(~ageclass)F(~1)",44,5108.60670295992,77.47,0,6722.12,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size","~1","~ageclass","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size)p(~1)r(~ageclass)F(~Sex + ageclass)",48,5109.2111532425,78.07,0,6711.91,1.33923167422218
"~ageclass * cond + Sex","~1","~1","~Sex * ageclass","S(~ageclass * cond + Sex)p(~1)r(~1)F(~Sex * ageclass)",19,5110.92366565242,79.78,0,6793.51,1.33923167422218
"~ageclass * djfm + ageclass * Hatch + Sex","~1","~1","~Sex * ageclass","S(~ageclass * djfm + ageclass * Hatch + Sex)p(~1)r(~1)F(~Sex * ageclass)",23,5111.86923477808,80.73,0,6783.92,1.33923167422218
"~ageclass + Sex","~1","~ageclass","~Sex * ageclass","S(~ageclass + Sex)p(~1)r(~ageclass)F(~Sex * ageclass)",18,5112.46000593028,81.32,0,6798.28,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size","~1","~1","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size)p(~1)r(~1)F(~Sex + ageclass)",45,5115.05278734916,83.91,0,6728,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size","~1","~1","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size)p(~1)r(~1)F(~Sex * ageclass)",48,5118.18936084574,87.05,0,6723.93,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size","~1","~ageclass","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size)p(~1)r(~ageclass)F(~Sex * ageclass)",51,5119.51237896152,88.37,0,6717.42,1.33923167422218
"~1","~1","~ageclass","~Sex + ageclass","S(~1)p(~1)r(~ageclass)F(~Sex + ageclass)",11,5125.6699042141,94.53,0,6834.89,1.33923167422218
"~1","~time + ageclass","~1","~Sex + ageclass","S(~1)p(~time + ageclass)r(~1)F(~Sex + ageclass)",22,5125.70931451981,94.57,0,6805.17,1.33923167422218
"~ageclass + Sex","~1","~1","~Sex + ageclass","S(~ageclass + Sex)p(~1)r(~1)F(~Sex + ageclass)",12,5125.82134830557,94.68,0,6832.39,1.33923167422218
"~ageclass + Sex","~1","~1","~Sex * ageclass","S(~ageclass + Sex)p(~1)r(~1)F(~Sex * ageclass)",15,5130.24944582168,99.11,0,6830.22,1.33923167422218
"~1","~1","~ageclass","~Sex * ageclass","S(~1)p(~1)r(~ageclass)F(~Sex * ageclass)",14,5130.93732801863,99.8,0,6833.84,1.33923167422218
"~1","~time + ageclass","~1","~Sex * ageclass","S(~1)p(~time + ageclass)r(~1)F(~Sex * ageclass)",25,5131.32326125596,100.18,0,6804.54,1.33923167422218
"~1","~time + ageclass","~ageclass","~1","S(~1)p(~time + ageclass)r(~ageclass)F(~1)",21,5140.83323702054,109.69,0,6828.14,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex","~1","~1","~1","S(~ageclass * cond + ageclass * djfm + Sex)p(~1)r(~1)F(~1)",16,5158.75110042669,127.61,0,6865.68,1.33923167422218
"~ageclass * cond + djfm + ageclass * Lprev","~1","~1","~1","S(~ageclass * cond + djfm + ageclass * Lprev)p(~1)r(~1)F(~1)",16,5159.75869308297,128.62,0,6867.03,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Lprev","~1","~1","~1","S(~ageclass * cond + ageclass * djfm + ageclass * Lprev)p(~1)r(~1)F(~1)",19,5162.48748491476,131.35,0,6862.56,1.33923167422218
"~1","~1","~1","~Sex + ageclass","S(~1)p(~1)r(~1)F(~Sex + ageclass)",8,5164.77704004554,133.64,0,6895.35,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex","~1","~1","~1","S(~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex)p(~1)r(~1)F(~1)",20,5165.60497595941,134.47,0,6864.03,1.33923167422218
"~ageclass * djfm + Sex","~1","~1","~1","S(~ageclass * djfm + Sex)p(~1)r(~1)F(~1)",12,5168.0733358363,136.93,0,6888.98,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto","~1","~1","~1","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto)p(~1)r(~1)F(~1)",25,5169.72430940162,138.58,0,6855.96,1.33923167422218
"~1","~1","~1","~Sex * ageclass","S(~1)p(~1)r(~1)F(~Sex * ageclass)",11,5170.48567519328,139.35,0,6894.91,1.33923167422218
"~1","~time + ageclass","~1","~1","S(~1)p(~time + ageclass)r(~1)F(~1)",18,5170.54009879038,139.4,0,6876.06,1.33923167422218
"~ageclass * djfm + ageclass * Hatch + Sex","~1","~1","~1","S(~ageclass * djfm + ageclass * Hatch + Sex)p(~1)r(~1)F(~1)",16,5174.45368602467,143.31,0,6886.71,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank","~1","~1","~1","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank)p(~1)r(~1)F(~1)",33,5179.27113848895,148.13,0,6846.93,1.33923167422218
"~ageclass * cond + Sex","~1","~1","~1","S(~ageclass * cond + Sex)p(~1)r(~1)F(~1)",12,5186.78869366605,155.65,0,6914.04,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size","~1","~1","~1","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size)p(~1)r(~1)F(~1)",41,5193.70413341368,162.56,0,6844.34,1.33923167422218
"~ageclass + Sex","~1","~1","~1","S(~ageclass + Sex)p(~1)r(~1)F(~1)",8,5194.16456182952,163.02,0,6934.7,1.33923167422218
"~1","~1","~ageclass","~1","S(~1)p(~1)r(~ageclass)F(~1)",7,5250.52796667711,219.39,0,7012.88,1.33923167422218
"~1","~1","~1","~1","S(~1)p(~1)r(~1)F(~1)",4,5283.90352603059,252.76,0,7065.64,1.33923167422218
